,feature_colony,feature_tag_id,feature_body_size,feature_age(days),feature_nb_foraging_events,feature_group_period1_1,feature_group_period2_1,feature_group_period3_1,feature_group_period1_2,feature_group_period2_2,feature_group_period1_3,feature_group_period2_3,feature_group_period3_2,feature_group_period3_3,feature_group_period1_4,feature_group_period2_4,feature_group_period3_4,feature_visits_to_brood,feature_visits_to_nest_entrance,feature_visits_to_rubbishpile,feature_nb_interaction_nurses,feature_nb_interaction_cleaners,feature_nb_interaction_foragers,feature_nb_interaction_queen
0,78,621,207.894,204,0,1,1,1,0,0,0,0,0,0,0,0,0,2.90909,10.1818,0.363636,227.72727,291.81818,676.36364,1.636
1,78,620,175.026,71,0,0,0,0,1,1,0,0,1,0,0,0,0,390.455,0,1.90909,994.36364,220.81818,85.090909,29.18
2,78,356,149.013,5,0,0,0,0,1,1,0,0,1,0,0,0,0,767.909,0,0.181818,936.72727,91.454545,23.454545,18.09
3,78,353,166.373,176,0,0,1,1,0,0,1,0,0,0,0,0,0,34.6364,0,1.81818,293,271.81818,323.36364,1
4,78,118,179.739,260,18,1,1,1,0,0,0,0,0,0,0,0,0,1.36364,14.3636,2.27273,137.54545,220.09091,616,0
5,78,229,174.256,50,0,0,0,0,1,1,0,0,1,0,0,0,0,40,0.727273,0,554.72727,259.81818,130.27273,1.727
6,78,227,177.192,64,0,0,0,1,1,0,0,1,0,0,0,0,0,50.5455,0.272727,2.18182,574.18182,299.81818,144.63636,7.636
7,78,113,160.59,120,0,0,1,1,0,0,1,0,0,0,0,0,0,68.7273,3.72727,77.6364,366.63636,329.54545,358.72727,2
8,78,161,208.096,14,0,0,0,0,1,1,0,0,1,0,0,0,0,121,0.636364,0.818182,1056.9091,237.09091,74,37.09
9,78,195,164.596,183,0,0,1,1,0,0,1,0,0,0,0,0,0,3.36364,1.63636,3.18182,373.81818,355.90909,287.27273,0.4545
10,78,196,181.648,211,11,1,1,1,0,0,0,0,0,0,0,0,0,1,8.09091,0,312.72727,447,831.72727,0.3636
11,78,190,149.482,5,0,0,0,0,1,1,0,0,1,0,0,0,0,410.636,0,0,647.09091,138,51.181818,8
12,78,929,171.712,40,0,0,0,0,1,1,0,0,1,0,0,0,0,247.545,0,0,802.18182,250.18182,101.72727,6.909
13,78,492,165.027,141,49,1,1,1,0,0,0,0,0,0,0,0,0,16.2727,117.455,4.45455,157.09091,220.36364,574.81818,0.5455
14,78,326,158.647,99,57,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0909091,0.181818,52,105.81818,394.54545,0.09091
15,78,650,163.918,85,0,0,1,1,0,0,1,0,0,0,0,0,0,44.0909,2.54545,0,499.18182,298.90909,339.81818,2.545
16,78,120,182.483,14,0,0,0,0,1,1,0,0,1,0,0,0,0,308.273,0,0.727273,901.72727,89.636364,37.727273,58.82
17,78,124,141.905,99,0,0,1,0,0,0,1,0,0,1,0,0,0,15.3636,44.3636,60.8182,574.18182,343.63636,239.45455,9.364
18,78,257,141.028,92,32,1,1,1,0,0,0,0,0,0,0,0,0,1.81818,6.72727,0.272727,79.454545,158.72727,446.54545,0
19,78,126,130.115,40,0,0,0,0,1,1,0,0,0,1,0,0,0,344.545,0,0.181818,616.54545,143.81818,41.454545,5.455
20,78,24,177.37,211,0,0,1,1,0,0,1,0,0,0,0,0,0,13.3636,0.818182,0.909091,179.45455,228.63636,238.90909,1.545
21,78,26,192.315,78,0,0,0,0,1,1,0,0,1,0,0,0,0,266.636,1.63636,3.81818,954.72727,169.45455,59.818182,26.09
22,78,27,169.499,64,0,0,0,0,1,1,0,0,1,0,0,0,0,699.818,0.0909091,0.545455,1009.5455,171.63636,54.272727,30.91
23,78,20,159.201,57,0,0,1,1,0,0,1,0,0,0,0,0,0,301.364,1.18182,2.09091,539.36364,288.18182,176.27273,10.64
24,78,23,151.053,155,224,1,1,1,0,0,0,0,0,0,0,0,0,2.45455,12.0909,0.181818,186.45455,217.36364,735.18182,0.7273
25,78,29,187.003,99,0,0,0,0,0,1,1,0,1,0,0,0,0,8.45455,0.636364,1.54545,611.90909,411,321.27273,1.909
26,78,838,128.6,50,0,0,0,0,1,1,0,0,1,0,0,0,0,499.182,0.181818,2.36364,510.36364,82.454545,29.363636,12.45
27,78,331,141.014,92,39,1,1,1,0,0,0,0,0,0,0,0,0,4,223.636,28.1818,110.90909,240.63636,556.54545,0
28,78,313,170.801,71,0,0,1,1,0,0,1,0,0,0,0,0,0,5.45455,1.90909,4.54545,428.90909,401,259.45455,5.182
29,78,135,145.344,113,10,1,1,1,0,0,0,0,0,0,0,0,0,8.45455,6.27273,9.45455,240.63636,349.45455,450.18182,2.091
