,feature_Group ID,feature_Dominance rank at time of knockout,feature_Type of dispersal,feature_Type of dispersal,feature_Type of dispersal,feature_Age in years at time of knockout
0,1.21,2,1,0,0,9.8
1,1.21,2,1,0,0,8.5
2,1.1,1,1,0,0,11.4
3,1.21,1,0,1,0,9.6
4,1.21,1,0,0,1,10.3
5,1.21,2,1,0,0,11.1
6,2.1,2,1,0,0,10.2
7,1.1,2,0,1,0,7.6
8,2.2,2,1,0,0,12.6
9,2.1,1,1,0,0,8
10,2.1,1,0,1,0,10.5
11,1.21,2,1,0,0,13.6
12,1.21,2,1,0,0,12.2
13,1.21,2,0,1,0,6
14,1.21,2,0,1,0,14
15,1.22,2,1,0,0,13.5
16,1.22,1,0,1,0,8.2
17,2.2,2,1,0,0,10.1
18,1.2,1,0,1,0,9.3
19,2.2,2,0,1,0,8.2
