,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6
0,12,61,2877,7308,7929,8784,10892
1,9,12,81,87,150,505,620
2,832,1063,7872,14453,18182,18663,26646
3,0,2,12,16,35,42,61
4,10,12,16,80,81,87,108
5,7,16,87,98,108,110,112
6,0,1,5,10,76,80,81
7,6,10,310,382,623,661,663
8,67,87,91,659,11189,19369,23556
9,35,120,414,505,675,2323,3328
10,81,174,325,414,505,516,5040
11,0,5,10,71,80,101,169
12,9,12,16,32,71,76,80
13,2,12,80,269,505,675,1264
14,42,81,5186,7585,7768,9301,10705
15,10,12,16,32,35,63,81
16,0,10,12,25,77,81,84
17,2,12,25,49,81,392,398
18,387,398,498,512,1095,2002,2003
19,49,84,661,1090,2514,3393,6596
20,325,395,758,959,2869,3034,3050
21,2,62,206,251,269,388,574
22,113,269,431,1237,3241,4341,5090
23,505,7575,7585,10157,11868,12573,14712
24,16,35,138,153,368,505,523
25,10,81,84,87,88,94,106
26,12,32,42,63,126,138,153
27,81,108,315,5407,8183,13566,26644
28,16,95,311,414,505,523,2157
29,35,81,87,90,218,301,681
30,398,675,2002,2003,2315,2377,3660
31,81,84,90,325,337,402,427
32,81,90,112,134,153,467,525
33,0,81,108,110,112,369,395
34,91,114,959,4644,5077,10164,23468
35,81,453,893,1962,2178,2311,4497
36,194,315,604,620,770,795,938
37,0,12,13,25,49,62,80
38,0,2,12,32,35,49,73
39,414,505,2173,4547,10062,10680,11619
40,153,729,2219,4021,5274,5842,10681
41,83,184,251,351,514,594,753
42,12,13,25,80,83,87,251
43,505,3944,4686,9184,9203,9571,11850
44,222,711,1135,5221,9301,10005,10439
45,159,175,240,260,301,572,574
46,251,1469,3677,5903,7548,9466,10119
47,25,159,194,218,251,265,349
48,61,230,231,263,376,380,711
49,5,7,13,49,81,87,90
50,9,12,13,16,25,35,49
51,251,523,711,10691,25587,28409,28435
52,81,94,153,174,251,263,265
53,661,1220,1962,2926,3245,4086,4261
54,0,2,6,9,10,12,13
55,12,432,732,822,3646,4172,5040
56,505,3034,5040,6943,11976,12999,24410
57,12,16,32,35,49,61,87
58,12,32,153,414,505,523,832
59,0,32,49,82,87,88,108
60,382,1320,2111,2910,3238,3980,6372
61,0,10,12,32,49,62,87
62,13,364,593,650,806,1090,1135
63,2,12,80,87,90,108,140
64,5,87,99,587,609,661,832
65,10,159,167,184,213,388,405
66,502,1453,1676,1820,2071,2184,2914
67,0,1,6,13,25,99,174
68,81,106,110,113,389,620,959
69,10,108,326,594,661,770,832
70,25,414,505,523,1264,3339,4547
71,13,25,74,87,99,105,138
72,49,83,87,174,251,395,505
73,10,120,140,376,464,505,509
74,25,83,138,172,222,278,414
75,12,16,35,42,81,95,108
76,2,90,109,153,172,278,454
77,95,97,7073,11269,14070,19379,24954
78,95,729,1713,1865,5274,9493,10571
79,2,12,16,61,73,87,110
80,73,87,138,414,505,1785,3442
81,6095,7196,9278,12100,13251,29102,30496
82,388,1101,1806,3034,3176,3883,4577
83,7,10,13,25,49,71,80
84,109,859,5274,9301,10365,11560,20493
85,0,10,12,15,32,63,94
86,0,2,9,12,13,25,28
87,200,3859,5408,6581,7896,12095,12098
88,200,729,1036,3423,4301,5274,7929
89,2,16,42,60,61,73,95
90,35,61,729,12028,13684,18654,18730
91,83,112,505,538,796,14886,28435
92,81,90,108,716,729,1101,2002
93,62,81,108,110,112,174,389
94,12,61,81,84,108,453,1965
95,251,729,1063,1191,4577,8033,8941
96,16,97,174,434,5040,7929,7955
97,32,87,387,2345,10662,13496,15805
98,505,10701,10852,12028,20022,24410,25514
99,153,729,10571,12014,12737,15869,16167
100,16,414,505,544,675,729,1063
101,2,25,35,42,153,167,251
102,385,387,389,481,660,770,1097
103,90,120,505,642,729,938,1101
104,76,80,87,204,368,832,1095
105,0,138,179,194,220,278,508
106,1865,3243,5274,6129,7575,8580,10365
107,2,6,10,16,97,105,122
108,1033,7308,7929,10639,12999,15124,15197
109,16,63,138,153,251,275,505
110,10,13,80,87,222,387,389
111,12,32,49,61,67,82,95
112,42,138,505,523,1033,3050,5040
113,81,83,84,87,90,91,95
114,0,32,42,49,138,153,167
115,10,96,794,8253,8934,13295,22163
116,2,12,675,897,5289,13398,16612
117,12,278,464,508,559,1135,2279
118,81,13251,20360,22822,23104,23928,24118
119,12,87,505,5040,10892,14374,14679
120,2,716,7105,7630,14507,21993,28454
121,200,3050,5274,5601,5842,7047,7929
122,12,16,82,87,153,729,7047
123,12,16,21,32,35,61,81
124,2,179,2050,2524,5040,5154,5609
125,7,25,32,174,269,365,368
126,315,325,505,525,620,796,1352
127,0,6,10,12,13,15,16
128,251,620,2698,7425,7896,11936,13512
129,0,90,153,204,251,395,396
130,2,32,35,42,60,63,109
131,2,12,35,49,61,73,258
132,12,68,87,120,345,361,516
133,10,108,112,174,395,398,620
134,12,35,87,88,251,414,505
135,156,174,392,659,661,832,837
136,108,325,395,1101,2002,3282,5274
137,395,795,1074,1507,4385,6290,7306
138,2431,3936,6015,7896,14332,18257,18261
139,0,388,872,877,896,1003,1303
140,112,325,832,868,2315,2318,2655
141,138,167,414,505,729,5842,12084
142,106,108,112,174,398,431,450
143,60,85,167,251,278,758,1063
144,81,7896,7920,12081,12085,12381,13901
145,2,49,76,80,88,108,110
146,62,80,505,2002,6164,7117,16381
147,2,12,16,32,35,42,61
148,100,204,2096,10538,15289,18842,23346
149,44,49,81,94,109,181,190
150,505,729,7955,8784,11088,12042,13891
151,12,15,32,80,87,112,174
152,7,25,49,87,251,325,327
153,12,25,61,505,729,1063,3034
154,81,269,15124,15575,17498,20695,23556
155,94,241,729,786,2282,3245,4577
156,12,16,49,87,120,505,681
157,5,10,12,49,87,99,138
158,2,6,9,13,16,25,28
159,12,61,91,97,313,523,740
160,174,4244,6095,10701,13753,24410,26267
161,16,97,505,729,1264,2482,4244
162,16,81,95,258,437,706,716
163,49,622,842,1178,1221,1721,1865
164,2,12,16,414,505,1264,2536
165,81,112,126,138,325,387,523
166,0,2,12,16,33,79,87
167,91,138,153,246,251,398,7957
168,42,153,684,990,1378,2029,2374
169,2,12,16,35,49,68,73
170,35,251,8028,12294,13804,22635,24263
171,0,10,62,81,82,87,108
172,2,12,61,87,108,246,414
173,35,61,251,269,505,3328,4892
174,42,78,95,126,138,172,200
175,0,190,1352,4301,5274,11058,12716
176,49,153,382,661,900,1095,1161
177,12,16,35,49,81,87,97
178,14,15,73,97,98,109,120
179,6,71,73,267,325,387,402
180,87,108,153,251,505,569,661
181,16,95,138,204,251,292,301
182,0,5,6,12,13,14,25
183,0,2,32,42,61,63,80
184,2,5,12,13,35,49,61
185,2,174,246,263,395,711,786
186,2,12,61,222,251,258,716
187,2,12,16,35,61,87,95
188,0,10,13,108,112,174,181
189,2,10,12,13,49,61,81
190,67,87,95,156,197,325,389
191,87,3351,3379,15841,20610,28436,29950
192,20,562,697,758,1046,1768,2122
193,71,81,108,110,112,190,325
194,2,12,16,49,61,156,414
195,82,87,88,110,112,318,337
196,2,12,110,133,238,453,2282
197,162,209,18730,21220,21342,27220,27904
198,112,174,505,729,3442,7929,10852
199,81,87,90,110,505,620,2173
200,42,278,505,7955,10571,11359,11864
201,12,16,32,35,49,138,153
202,12,13,49,73,87,88,94
203,4579,12085,18814,18913,19477,23267,25514
204,120,505,7128,9301,10365,10680,11976
205,2,12,505,675,11380,12028,12085
206,0,12,15,16,35,49,87
207,2,16,97,150,301,505,888
208,12,16,32,42,61,95,138
209,2,9,12,16,42,73,83
210,16,387,1063,1095,5193,7064,8349
211,2,8,12,35,60,61,96
212,2,12,63,97,138,251,620
213,2,16,95,258,505,12028,13614
