,feature_Partition_Department_0,feature_Partition_Department_1,feature_Partition_Department_2,feature_Partition_Department_3,feature_Partition_Department_4,feature_Partition_Level_1,feature_Partition_Level_2,feature_Partition_Level_3,feature_Age,feature_Tenure
0,0,0,0,0,1,0,0,1,33,9.333
1,0,0,0,0,1,0,1,0,42,19.583
2,0,0,0,0,1,0,0,1,33,7.5
3,0,1,0,0,0,0,0,1,34,11.333
4,0,0,0,0,1,0,0,1,27,4.667
5,0,0,0,1,0,0,1,0,33,9.083
6,0,1,0,0,0,0,1,0,36,12.5
7,0,1,0,0,0,0,0,1,59,28
8,1,0,0,0,0,1,0,0,55,30
9,0,0,1,0,0,0,0,1,40,12.75
10,0,0,1,0,0,0,0,1,62,5.417
11,0,0,0,1,0,0,0,1,37,9.25
12,0,0,0,1,0,0,0,1,46,27
13,0,1,0,0,0,0,0,1,34,8.917
14,0,0,1,0,0,0,1,0,43,10.417
15,0,1,0,0,0,0,0,1,30,12.417
16,0,0,1,0,0,0,0,1,38,11.667
17,0,0,1,0,0,0,0,1,32,3.333
18,0,0,1,0,0,0,0,1,48,0.25
19,0,0,1,0,0,0,0,1,32,4.833
20,0,0,1,0,0,0,0,1,40,8.417
