,nodes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
23,3867,1726,1535,1909,653,1539,2330,2814,119,1644
30,1508,1948,3152,1082,861,2484,846,920,224,3097
35,3385,1948,3152,1301,2928,405,846,920,1907,2185
49,1295,1121,509,490,861,2124,757,920,224,810
53,4667,2858,294,49,2940,844,861,1114,2086,2323
76,2299,515,294,653,2044,2063,920,224,810,2964
77,5803,1234,3152,2984,1515,2323,48,920,224,810
118,1600,1554,1191,1735,653,3164,920,224,810,2604
121,5610,1051,1417,2583,2024,653,287,3164,920,1907
144,5115,308,3152,2702,653,210,48,920,224,3097
153,6941,2248,911,1294,861,152,2063,920,224,810
158,133,2248,2446,1936,653,1539,1085,920,224,810
165,494,3040,2770,2334,2928,2012,2063,920,224,810
167,602,194,3152,2300,947,846,1340,653,920,1144
168,1476,1948,3152,917,507,653,359,3084,920,224
177,1774,1234,3152,2281,2251,2323,1963,2063,920,224
178,3047,308,3059,861,2611,2003,920,224,810,1130
197,6659,89,2446,2334,845,861,425,2282,920,224
199,2845,308,3152,333,653,2956,2330,2814,119,1644
203,4383,1449,1535,2090,861,2484,1085,920,224,3097
206,1775,1951,2770,1464,653,2668,3062,2814,119,1644
233,4328,2352,1535,1909,653,1539,2282,920,224,810
250,3915,1051,294,496,846,759,1085,920,224,3097
264,5714,1234,3152,1541,633,653,2243,2282,920,224
268,934,1951,421,1053,2323,1963,48,920,224,810
271,1025,515,294,1460,798,846,673,846,920,224
276,3285,2248,433,2263,846,2410,266,2814,119,1644
279,5106,1550,1417,48,102,2063,920,224,810,754
280,3486,1234,3152,496,846,1372,2282,920,224,810
283,1427,308,3152,3059,861,2845,1649,920,224,810
290,726,1234,3152,1936,40,653,1539,2282,920,224
292,3726,308,3152,2212,846,759,1649,920,224,810
297,438,89,2864,2908,723,844,653,2322,3084,920
311,3900,1521,1222,677,1217,2323,2070,846,920,224
345,3728,308,3152,2281,2928,473,757,920,224,810
