,nodes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
4,5137,515,294,3022,2024,846,654,48,920,1144,1761.0
6,1803,1234,3152,2984,2928,188,1085,920,224,810,1620.0
15,6357,438,1535,1909,2437,861,107,1281,2814,119,1644.0
23,3867,1726,1535,1909,653,1539,2330,2814,119,1644,66.0
91,493,1554,1713,333,861,489,1281,2814,119,1644,2782.0
111,3642,1133,2864,357,1171,861,48,920,1907,2185,1043.0
115,6239,1234,3152,1294,3169,861,420,3023,920,224,810.0
157,3384,1521,1696,1301,2928,495,861,920,1907,2185,1043.0
158,133,2248,2446,1936,653,1539,1085,920,224,810,545.0
176,5786,1051,2918,1301,846,1372,861,920,224,810,2201.0
178,3047,308,3059,861,2611,2003,920,224,810,1130,1895.0
199,2845,308,3152,333,653,2956,2330,2814,119,1644,2131.0
201,6326,1726,3152,1301,2928,188,2063,920,224,810,244.0
229,4265,308,496,861,2611,3023,920,224,810,2337,2153.0
233,4328,2352,1535,1909,653,1539,2282,920,224,810,545.0
256,1952,1948,3152,51,1451,507,846,241,1047,1658,920.0
264,5714,1234,3152,1541,633,653,2243,2282,920,224,2867.0
265,2603,1234,3152,2481,692,846,673,2323,920,224,3097.0
268,934,1951,421,1053,2323,1963,48,920,224,810,1913.0
271,1025,515,294,1460,798,846,673,846,920,224,3097.0
276,3285,2248,433,2263,846,2410,266,2814,119,1644,2721.0
287,3493,89,3152,1186,861,44,861,920,224,2867,1656.0
291,4121,1121,2060,1464,2240,846,2176,757,920,224,810.0
301,2717,308,3152,3022,846,3003,2063,920,224,3097,329.0
307,855,194,1191,204,653,210,573,920,224,2798,606.0
312,6964,1521,1079,3155,1832,861,2073,48,920,1144,1761.0
323,579,2605,619,2334,846,759,2063,920,224,810,2204.0
371,2031,1234,3152,1513,846,1881,1085,920,224,3097,615.0
377,3268,3068,1417,1909,861,107,2919,920,224,810,338.0
399,5205,1550,509,3163,2928,793,861,920,1907,2185,3066.0
401,3170,515,165,3022,1361,846,151,2928,920,224,3097.0
403,6856,1521,1191,2498,653,48,920,224,3097,400,2549.0
409,411,1234,3152,967,319,2323,3164,920,224,810,85.0
420,4597,1948,421,3059,861,489,48,920,224,810,1369.0
422,5621,3048,1079,956,861,44,3164,920,224,810,1614.0
423,2448,2605,1079,1510,861,152,757,920,1907,1612,2777.0
426,200,2347,433,967,2928,1659,1649,920,224,810,2964.0
431,6250,1521,1191,2481,846,759,2063,920,1907,1612,2327.0
433,2963,1726,619,1936,861,1842,2282,920,224,810,2964.0
445,3379,1951,3152,2984,861,152,1777,920,224,810,2534.0
448,4849,2554,2060,2984,1846,653,1225,861,920,224,810.0
